0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,10
0,12
0,14
0,16
0,30
0,31
0,36
0,38
0,40
0,41
0,50
0,54
0,57
0,64
0,66
0,67
0,71
0,76
0,77
0,85
0,88
0,89
0,94
0,95
1,4
1,5
1,7
1,8
1,9
1,11
1,12
1,15
1,20
1,26
1,27
1,34
1,45
1,48
1,49
1,50
1,67
1,84
2,9
2,10
2,21
2,42
2,44
2,64
3,4
3,5
3,6
3,8
3,14
3,16
3,18
3,31
3,56
3,62
3,65
3,71
3,76
3,86
4,6
4,7
4,8
4,13
4,17
4,18
4,19
4,23
4,25
4,26
4,28
4,29
4,32
4,37
4,39
4,49
4,51
4,52
4,53
4,54
4,55
4,56
4,59
4,60
4,62
4,68
4,74
4,78
4,87
4,97
5,9
5,11
5,24
5,25
5,34
5,52
5,60
5,83
6,16
6,17
6,35
6,37
6,42
6,49
6,90
6,92
7,15
7,19
7,20
7,28
7,39
7,44
7,77
7,97
7,98
8,11
8,14
8,46
8,48
8,55
9,10
9,19
9,22
9,23
9,25
9,26
9,27
9,29
9,33
9,40
9,46
9,47
9,54
9,66
9,75
9,90
9,96
9,98
10,12
10,13
10,18
10,24
10,27
10,43
10,47
10,61
10,73
10,79
10,88
10,91
11,13
11,20
11,21
11,33
11,35
11,58
11,85
12,15
12,34
12,51
12,61
12,70
12,72
12,77
12,91
13,23
13,35
13,42
13,72
13,84
14,17
14,21
14,22
14,32
14,38
14,53
14,59
14,63
14,72
14,80
14,92
14,94
15,28
15,47
15,53
15,56
15,78
16,22
16,39
16,81
17,24
17,30
17,32
17,40
17,41
18,55
18,61
18,69
19,36
19,63
19,73
19,74
20,45
20,70
20,83
21,31
21,41
21,43
21,52
21,62
21,63
21,87
22,65
22,96
23,30
23,36
23,50
23,81
23,93
24,89
25,38
25,93
26,29
26,57
26,79
26,92
28,58
29,68
29,90
30,37
31,79
32,33
32,83
33,93
34,44
34,48
36,51
37,58
37,66
38,76
38,86
39,43
39,64
43,45
43,46
43,85
43,96
47,95
48,67
48,80
48,89
49,70
50,68
50,75
51,57
53,59
53,60
53,94
53,98
54,81
54,86
57,71
58,65
58,69
60,74
60,78
60,82
64,88
66,73
66,82
68,69
71,75
71,91
72,80
72,84
72,95
73,82
75,87
83,97
